Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
,Bermuda,146.19,104.76,126.34,139.55,151.39,91.65
,Switzerland,122.06,56.57,90.68,122.72,119.85,95.35
,Iceland,111.71,46.53,80.47,103.88,119.74,77.62
,Norway,106.31,39.88,74.47,98.31,117.13,105.58
,Bahamas,104.05,40.59,73.63,103.52,89.95,34.76
,Us Virgin Islands,85.86,37.23,62.56,75.41,81.12,95.82
,Japan,85.28,27.56,57.62,89.92,47.83,102.52
,Italy,83.7,21.49,53.89,73.94,76.24,71.83
,Denmark,83.02,35.02,60.01,63.84,101.01,98.76
,Singapore,82.41,70.22,76.57,71.68,58.33,92.7
,New Zealand,80.77,33.8,58.26,73.13,77.46,89.87
,Australia,80.66,42.54,62.39,76.87,77.12,101.94
,Hong Kong,79.96,84.08,81.93,81.88,54.87,81.45
,Israel,77.74,28.44,54.11,65.39,81.35,94.47
,Luxembourg,77.28,49.95,64.18,65.94,87.3,97.4
,Ireland,76.98,40.64,59.56,62.21,81.38,103.52
,Sweden,75.88,26.86,52.39,67.94,78.27,107.23
,United States,75.42,40.3,58.59,75.57,70.02,123.17
,South Korea,75.41,22.02,49.82,88.52,44.62,102.38
,Belgium,75.36,29.64,53.44,65.77,82.34,91.02
,Kuwait,75.24,37.82,57.31,81.39,45.79,69.68
,France,74.89,24.83,50.9,69.54,72.89,87.29
,Finland,73.06,26.95,50.96,61.47,76.43,114.97
,Netherlands,72.47,32.45,53.29,55.95,82.27,86.52
,Austria,71.52,25.86,49.64,65.86,66.94,95.66
,Uruguay,70.29,18.57,45.5,56.82,67.62,32.86
,Canada,70.16,29.84,50.83,69.26,65.65,108.01
,Puerto Rico,69.59,19.55,45.61,66.84,63.26,83.05
,United Kingdom,69.49,30.98,51.03,55.85,76.84,96.85
,Qatar,69.2,66.81,68.06,56.09,72.73,111.28
,United Arab Emirates,67.98,68.84,68.39,55.36,63.92,116.77
,Germany,65.5,25.35,46.26,50.09,62.62,124.88
,Malta,62.8,23.2,43.82,52.83,66.89,68.09
,Macao,62.56,39.0,51.27,56.33,48.56,86.41
,Lebanon,61.65,30.89,46.91,46.92,60.23,53.61
,Taiwan,61.38,14.8,39.06,72.89,28.14,118.57
,Ghana,60.48,46.73,53.89,56.35,43.38,14.52
,Jordan,59.22,12.51,36.83,50.19,56.19,42.27
,Costa Rica,58.57,18.76,39.5,57.55,45.38,53.63
,Bahrain,57.78,31.64,45.26,55.45,49.24,94.78
,Jamaica,56.9,11.92,35.34,55.96,39.04,36.61
,Panama,56.88,31.86,44.89,57.44,47.42,38.48
,Trinidad And Tobago,56.15,21.09,39.35,53.54,51.94,57.14
,Greece,55.87,10.2,33.98,44.95,54.62,58.24
,Belize,55.8,11.35,34.5,49.35,33.41,134.33
,Mongolia,55.56,29.65,43.14,53.99,31.81,22.83
,Spain,54.98,18.83,37.65,44.68,53.68,87.87
,Cyprus,54.07,12.28,34.04,44.06,58.05,95.92
,Palestine,53.46,10.31,32.78,50.02,37.8,50.54
,Slovenia,53.24,14.06,34.46,43.48,43.13,78.23
,Fiji,53.11,27.43,40.8,57.09,36.84,33.67
,Brazil,53.07,15.52,35.07,41.65,42.33,42.38
,Oman,52.59,27.92,40.77,49.34,51.26,111.86
,Argentina,52.57,13.92,34.05,44.06,50.37,58.4
,Dominican Republic,52.09,12.54,33.14,46.92,42.31,29.08
,Zimbabwe,51.56,13.58,33.36,44.75,39.95,27.18
,Mauritius,50.39,12.62,32.29,43.28,35.81,50.77
,Chile,50.09,15.43,33.48,43.19,44.38,61.28
,Estonia,49.5,13.98,32.47,36.74,46.76,68.48
,Portugal,49.19,16.77,33.66,39.14,41.24,62.72
,Tanzania,48.51,22.8,36.19,37.55,33.48,41.95
,Saudi Arabia,48.37,14.36,32.07,40.54,30.22,138.05
,Croatia,48.0,10.09,29.83,39.91,37.53,60.71
,Latvia,47.83,12.09,30.7,36.72,41.16,52.45
,Honduras,47.4,11.6,30.24,39.37,36.27,37.49
,Iraq,47.04,15.22,31.79,39.2,44.43,55.09
,Cambodia,46.77,14.55,31.33,50.58,22.11,16.59
,Lithuania,46.73,13.25,30.69,36.15,40.08,51.67
,Namibia,46.48,21.03,34.28,40.86,43.21,50.49
,Ecuador,46.1,12.44,29.97,44.87,30.41,37.77
,Guatemala,46.01,14.31,30.82,43.88,32.63,48.18
,El Salvador,45.95,9.38,28.42,41.17,35.15,29.7
,Libya,45.85,18.8,32.88,47.01,35.69,132.65
,Ethiopia,45.72,20.83,33.79,36.9,23.9,16.66
,Slovakia,44.9,16.49,31.29,38.84,33.17,64.75
,China,44.76,18.67,32.26,47.74,29.68,67.84
,Zambia,44.73,21.94,33.81,33.83,32.32,89.93
,Thailand,43.71,14.94,29.92,48.31,21.42,34.28
,South Africa,43.12,16.33,30.28,36.27,40.2,98.96
,Hungary,42.77,12.67,28.35,33.62,32.72,47.52
,Russia,42.01,17.58,30.3,33.58,43.85,48.27
,Czech Republic,41.22,14.83,28.57,35.84,27.99,76.22
,Indonesia,41.11,11.66,26.99,45.8,20.29,27.61
,Malaysia,40.24,11.19,26.32,42.44,20.87,73.34
,Vietnam,40.11,15.49,28.31,39.6,20.46,24.77
,Peru,39.47,17.23,28.81,36.17,25.5,41.2
,Montenegro,39.35,9.54,25.06,31.1,35.03,46.61
,Kenya,39.0,9.68,24.95,37.65,29.98,30.99
,Bolivia,38.65,11.07,25.43,32.13,27.97,46.74
