Rank,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
,Hong Kong,49.42,1.84,1.86,54.47,53.79,310.55,0.32
,China,29.09,1.83,2.01,54.51,49.85,231.33,0.43
,Taiwan,28.91,1.97,2.38,50.65,41.99,174.62,0.57
,Sri Lanka,26.32,3.41,3.25,29.35,30.77,403.42,0.25
,Nepal,25.15,2.38,2.87,41.99,34.86,325.46,0.31
,Thailand,21.94,3.52,3.66,28.43,27.34,182.02,0.55
,Philippines,21.83,3.51,3.74,28.48,26.75,206.69,0.48
,Singapore,21.56,2.37,2.7,42.13,37.0,133.06,0.75
,Algeria,21.22,2.71,3.02,36.84,33.1,180.38,0.55
,Vietnam,19.66,4.45,5.76,22.47,17.36,209.4,0.48
,Argentina,19.02,2.57,2.85,38.89,35.14,566.2,0.18
,Colombia,18.85,4.43,4.75,22.57,21.06,253.32,0.39
,Brazil,18.72,3.73,3.83,26.84,26.11,219.77,0.46
,Serbia,18.62,3.04,3.31,32.94,30.2,133.07,0.75
,South Korea,17.58,1.36,1.74,73.68,57.61,122.07,0.82
,Azerbaijan,17.22,5.03,5.69,19.89,17.58,178.87,0.56
,Iran,16.87,5.82,7.06,17.2,14.16,335.16,0.3
,Peru,16.0,4.83,5.67,20.71,17.64,186.89,0.54
,Albania,15.2,4.28,5.27,23.37,18.99,128.83,0.78
,Czech Republic,15.17,3.3,3.72,30.28,26.86,96.35,1.04
,Morocco,14.71,4.61,4.45,21.71,22.48,122.95,0.81
,Ukraine,14.35,6.45,7.6,15.5,13.16,291.44,0.34
,Belarus,14.27,4.77,4.55,20.96,21.96,212.6,0.47
,Armenia,14.09,6.38,6.31,15.67,15.85,187.15,0.53
,Pakistan,14.06,4.11,4.0,24.3,24.98,184.06,0.54
,Uruguay,13.99,4.25,4.2,23.54,23.8,143.83,0.7
,Israel,13.98,2.67,3.11,37.47,32.11,97.11,1.03
,Moldova,13.83,5.66,6.39,17.68,15.66,183.14,0.55
,Indonesia,13.81,5.06,5.11,19.75,19.55,143.25,0.7
,Montenegro,13.69,4.11,4.13,24.35,24.19,119.83,0.83
,Dominican Republic,13.66,6.3,6.88,15.87,14.54,194.73,0.51
,North Macedonia,13.65,4.03,4.02,24.79,24.85,120.31,0.83
,Egypt,13.6,6.06,6.45,16.5,15.51,200.82,0.5
,Chile,13.51,4.28,4.18,23.37,23.95,98.89,1.01
,Lebanon,13.44,5.06,6.32,19.77,15.83,117.78,0.85
,Ecuador,13.11,5.43,5.02,18.42,19.92,161.92,0.62
,France,12.85,2.55,3.13,39.18,31.91,76.33,1.31
,Portugal,12.71,4.94,6.34,20.23,15.77,81.02,1.23
,Georgia,12.67,6.63,7.25,15.08,13.79,164.7,0.61
,Panama,12.67,8.08,7.85,12.38,12.74,101.36,0.99
,Hungary,12.58,4.35,4.98,22.98,20.09,105.18,0.95
,Russia,12.39,5.86,6.01,17.07,16.63,149.15,0.67
,Bangladesh,12.33,3.33,3.82,30.0,26.15,153.78,0.65
,Bosnia And Herzegovina,12.28,3.23,3.12,30.97,32.02,100.31,1.0
,Tunisia,12.27,4.57,4.89,21.86,20.43,115.77,0.86
,Luxembourg,11.64,3.98,4.22,25.11,23.71,70.38,1.42
,Croatia,11.63,3.47,3.57,28.85,28.02,89.94,1.11
,Kazakhstan,11.51,7.22,6.52,13.85,15.34,203.22,0.49
,Guatemala,11.37,6.28,7.46,15.91,13.4,115.07,0.87
,India,11.33,2.88,3.56,34.7,28.13,125.75,0.8
,Japan,11.25,2.48,3.07,40.25,32.61,64.15,1.56
,Lithuania,11.11,4.18,4.39,23.9,22.76,68.45,1.46
