countrycode,year,ranking,costofliving_index,rent_index,groceries_index,restaurantprice_index,localpurchpower_index
CHE,2015,1,126.03,57.63,128.44,127.64,146.51
NOR,2015,2,118.59,48.7,110.06,141.45,96.3
VEN,2015,3,111.01,34.13,128.43,91.09,11.9
ISL,2015,4,102.14,35.86,103.76,105.21,70.84
DNK,2015,5,100.6,34.71,88.59,117.53,105.7
AUS,2015,6,99.32,49.47,94.31,90.63,110.39
NZL,2015,7,93.71,35.76,92.51,86.31,90.99
SGP,2015,8,93.61,84.62,81.52,59.46,75.4
KWT,2015,9,92.97,40.91,118.45,54.59,85.7
GBR,2015,10,92.19,39.19,84.58,95.97,98.12
IRL,2015,11,92.09,37.47,85.14,91.58,95.72
LUX,2015,12,91.78,62.31,77.1,110.63,114.7
FIN,2015,13,89.68,29.87,84.3,92.38,101.17
FRA,2015,14,88.37,31.13,85.3,91.06,92.62
BEL,2015,15,87.22,30.96,79.54,95.93,86.16
NLD,2015,16,85.98,35.5,66.82,102.13,102.02
SWE,2015,17,82.91,27.49,78.72,89.99,110.95
KOR,2015,18,82.9,35.55,98.06,52.51,85.83
ITA,2015,19,82.72,25.71,71.43,93.07,79.35
CAN,2015,20,81.8,33.08,87.41,74.07,105.07
JPN,2015,21,80.36,29.71,82.68,50.51,98.21
ISR,2015,22,79.29,30.26,69.19,85.34,88.18
AUT,2015,23,76.87,29.2,73.56,70.43,104.55
USA,2015,24,76.53,36.17,81.81,68.06,126.09
DEU,2015,25,76.27,27.16,64.85,72.46,111.84
HKG,2015,26,75.23,81.09,79.46,53.82,74.93
QAT,2015,27,74.0,76.31,65.4,78.14,113.02
PRI,2015,28,73.5,19.7,76.35,63.6,94.43
CYP,2015,29,72.52,16.2,66.06,75.18,71.05
GHA,2015,30,71.83,54.15,73.39,59.13,14.17
GRC,2015,31,68.88,11.92,58.2,70.03,51.89
MLT,2015,32,68.81,18.33,58.1,75.93,72.45
URY,2015,34,68.55,21.8,60.62,64.57,44.87
LBN,2015,35,67.61,31.68,51.59,67.43,50.17
ARE,2015,36,67.16,66.86,60.3,63.67,104.59
ARG,2015,37,67.12,18.26,61.47,64.4,59.38
ZWE,2015,38,65.89,19.8,59.42,54.33,33.4
ESP,2015,39,65.7,21.53,54.17,71.09,76.71
SVN,2015,40,65.15,17.27,55.58,54.03,64.16
JAM,2015,41,63.56,14.78,59.42,44.12,43.53
CRI,2015,42,62.53,18.22,64.35,52.84,48.14
RUS,2015,43,61.91,28.73,49.88,71.8,38.86
JOR,2015,44,61.38,15.27,50.86,58.59,38.67
EST,2015,45,61.2,16.17,48.98,51.51,51.44
MUS,2015,46,60.1,20.88,51.27,52.3,60.1
NGA,2015,48,59.4,22.37,54.04,49.6,40.23
AZE,2015,49,59.13,30.46,50.22,64.69,29.21
TTO,2015,50,59.08,22.15,60.07,51.01,46.98
HRV,2015,51,58.92,11.8,52.32,46.36,50.47
PRT,2015,52,58.22,18.29,47.4,51.07,58.22
TZA,2015,53,57.13,29.62,58.21,39.01,47.16
TWN,2015,54,57.06,17.23,66.73,27.88,69.9
KHM,2015,55,57.05,14.82,68.86,26.07,11.93
BHR,2015,56,56.17,37.39,55.32,54.19,59.69
DOM,2015,57,55.95,12.34,55.21,44.16,28.2
LVA,2015,58,55.94,13.01,44.79,47.18,44.39
BRA,2015,60,55.33,18.53,44.31,45.44,41.16
PAN,2015,61,55.16,31.22,61.03,40.39,43.34
KAZ,2015,62,54.27,19.41,44.37,58.98,43.48
OMN,2015,63,54.2,28.96,47.38,44.45,106.83
PSE,2015,66,53.27,7.55,48.5,35.97,46.09
