countrycode,year,price_income_ratio,mortage_income_ratio,affordability_index
HKG,2015,30.09,192.99,0.52
CHN,2015,26.42,230.62,0.43
TWN,2015,24.97,152.28,0.66
VNM,2015,23.92,285.6,0.35
SGP,2015,21.41,133.27,0.75
DZA,2015,20.91,161.45,0.62
IRN,2015,20.78,468.12,0.21
THA,2015,20.76,179.53,0.56
IDN,2015,18.93,217.37,0.46
PHL,2015,18.52,198.55,0.5
UKR,2015,17.38,349.26,0.29
MDA,2015,17.07,267.28,0.37
SRB,2015,17.07,155.29,0.64
BRA,2015,16.7,200.64,0.5
BLR,2015,16.36,545.46,0.18
PER,2015,16.27,189.76,0.53
LBN,2015,16.21,143.71,0.7
AZE,2015,16.19,185.65,0.54
MAR,2015,16.12,135.99,0.74
MNE,2015,16.07,170.18,0.59
MKD,2015,15.38,148.07,0.68
SGS,2015,15.17,208.57,0.48
ECU,2015,14.67,167.68,0.6
RUS,2015,14.6,209.95,0.48
ALB,2015,14.58,138.43,0.72
COL,2015,14.35,188.58,0.53
PAK,2015,14.32,218.22,0.46
ARM,2015,13.39,197.43,0.51
LTU,2015,12.87,87.49,1.14
KAZ,2015,12.73,186.69,0.54
BIH,2015,12.5,123.72,0.81
HRV,2015,12.48,109.97,0.91
LVA,2015,12.19,83.51,1.2
ROU,2015,11.81,108.96,0.92
ITA,2015,11.69,94.06,1.06
EST,2015,11.65,78.12,1.28
ARG,2015,11.59,231.65,0.43
DOM,2015,11.45,171.89,0.58
EGY,2015,11.33,132.27,0.76
URY,2015,11.23,108.51,0.92
KOR,2015,11.01,83.32,1.2
BGD,2015,10.9,194.01,0.52
TUN,2015,10.85,109.26,0.92
CHL,2015,10.84,87.73,1.14
PAN,2015,10.79,88.77,1.13
ISR,2015,10.72,68.86,1.45
PSE,2015,10.62,84.14,1.19
SVN,2015,10.61,79.56,1.26
CZE,2015,10.59,71.37,1.4
POL,2015,10.56,83.11,1.2
BOL,2015,10.33,94.54,1.06
IOT,2015,10.06,124.36,0.8
FRA,2015,9.7,66.73,1.5
GRC,2015,9.67,75.32,1.33
AUT,2015,9.6,64.32,1.55
ESP,2015,9.56,66.42,1.51
BGR,2015,9.42,92.96,1.08
SWE,2015,9.25,61.85,1.62
JPN,2015,9.24,55.84,1.79
IRQ,2015,8.89,93.25,1.07
GBR,2015,8.63,63.43,1.58
HUN,2015,8.58,84.03,1.19
JOR,2015,8.58,87.47,1.14
SVK,2015,8.58,61.09,1.64
MYS,2015,8.35,64.84,1.54
PRT,2015,8.32,61.94,1.61
LUX,2015,8.31,50.43,1.98
NOR,2015,7.74,54.74,1.83
CYP,2015,7.38,63.99,1.56
CHE,2015,7.28,44.0,2.27
MLT,2015,7.2,49.83,2.01
AUS,2015,7.13,59.32,1.69
FIN,2015,7.01,43.52,2.3
TUR,2015,6.7,86.84,1.15
DEU,2015,6.61,44.27,2.26
BEL,2015,6.49,45.92,2.18
MEX,2015,6.26,77.27,1.29
NLD,2015,6.22,46.1,2.17
ARE,2015,6.16,49.9,2.0
IRL,2015,6.07,45.0,2.22
NZL,2015,5.78,49.11,2.04
CRI,2015,5.74,84.35,1.19
ISL,2015,5.61,52.65,1.9
CAN,2015,5.52,37.88,2.64
DNK,2015,5.02,34.3,2.92
ZAF,2015,3.14,33.59,2.98
SAU,2015,3.12,23.55,4.25
USA,2015,2.62,19.43,5.15
HKG,2016,37.57,239.94,0.42
VNM,2016,34.09,374.92,0.27
UKR,2016,26.16,611.79,0.16
CHN,2016,24.98,210.65,0.47
THA,2016,24.38,214.23,0.47
SGP,2016,23.17,144.38,0.69
TWN,2016,22.72,139.85,0.72
BLR,2016,21.06,721.22,0.14
JPN,2016,20.17,119.57,0.84
IDN,2016,19.48,225.53,0.44
PHL,2016,19.24,193.09,0.52
DZA,2016,19.06,152.14,0.66
MDA,2016,18.27,257.53,0.39
ARM,2016,18.24,286.45,0.35
BRA,2016,17.95,239.44,0.42
AZE,2016,17.77,210.94,0.47
SRB,2016,16.59,148.39,0.67
SGS,2016,16.32,224.74,0.44
COL,2016,16.29,218.35,0.46
PER,2016,15.95,183.97,0.54
MNE,2016,15.61,182.1,0.55
MKD,2016,15.52,138.64,0.72
PAK,2016,15.27,218.77,0.46
KOR,2016,14.87,110.65,0.9
URY,2016,14.83,149.26,0.67
IRN,2016,14.78,356.11,0.28
MAR,2016,14.66,125.46,0.8
ALB,2016,14.05,128.55,0.78
KAZ,2016,13.23,199.3,0.5
LBN,2016,12.91,114.63,0.87
LTU,2016,12.9,84.11,1.19
RUS,2016,12.84,192.89,0.52
ARG,2016,12.22,269.12,0.37
PAN,2016,12.06,98.17,1.02
