,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year,Ranking
0,Switzerland,126.03,57.63,92.61,128.44,127.64,146.51,2015,1,Bermuda,133.68,120.12,127.17,131.95,121.27,118.54,2016,1,Bermuda,146.19,104.76,126.34,139.55,151.39,91.65,2017,1,Bermuda,144.88,100.71,123.57,143.42,151.59,104.24,2018,1,Switzerland,121.16,50.25,87.11,120.81,123.09,129.7,2019,1
1,Norway,118.59,48.7,84.43,110.06,141.45,96.3,2015,2,Switzerland,123.1,55.14,90.44,123.86,119.14,178.74,2016,2,Switzerland,122.06,56.57,90.68,122.72,119.85,95.35,2017,2,Switzerland,131.39,53.84,93.99,133.34,131.86,126.15,2018,2,Iceland,101.86,48.28,76.13,92.1,111.85,91.8,2019,2
2,Venezuela,111.01,34.13,73.44,128.43,91.09,11.9,2015,3,Bahamas,107.54,38.21,74.22,107.12,88.43,58.96,2016,3,Iceland,111.71,46.53,80.47,103.88,119.74,77.62,2017,3,Iceland,123.96,54.63,90.52,118.95,132.59,87.84,2018,3,Norway,100.99,37.28,70.4,92.67,111.53,103.61,2019,3
3,Iceland,102.14,35.86,69.75,103.76,105.21,70.84,2015,4,Norway,99.8,37.04,69.64,93.27,110.77,125.75,2016,4,Norway,106.31,39.88,74.47,98.31,117.13,105.58,2017,4,Norway,113.7,40.85,78.57,106.52,125.04,107.95,2018,4,Bahamas,92.4,33.49,64.11,76.97,99.92,57.01,2019,4
4,Denmark,100.6,34.71,68.4,88.59,117.53,105.7,2015,5,Iceland,96.45,35.45,67.13,91.4,98.82,93.98,2016,5,Bahamas,104.05,40.59,73.63,103.52,89.95,34.76,2017,5,Bahamas,100.68,35.31,69.16,88.38,102.08,71.4,2018,5,Luxembourg,86.09,55.64,71.47,75.1,96.08,106.26,2019,5
5,Australia,99.32,49.47,74.96,94.31,90.63,110.39,2015,6,Denmark,84.88,30.83,58.9,69.2,97.88,142.14,2016,6,Us Virgin Islands,85.86,37.23,62.56,75.41,81.12,95.82,2017,6,Luxembourg,96.56,59.87,78.87,84.98,107.94,116.73,2018,6,Japan,83.33,27.97,56.75,83.58,48.75,103.12,2019,6
6,New Zealand,93.71,35.76,65.39,92.51,86.31,90.99,2015,7,Singapore,83.67,73.88,78.97,75.83,53.75,110.5,2016,7,Japan,85.28,27.56,57.62,89.92,47.83,102.52,2017,7,Denmark,93.3,36.62,65.96,72.46,113.39,117.53,2018,7,Denmark,81.38,32.91,58.11,63.62,95.14,114.39,2019,7
7,Singapore,93.61,84.62,89.22,81.52,59.46,75.4,2015,8,Luxembourg,82.01,48.87,66.08,69.16,90.33,154.4,2016,8,Italy,83.7,21.49,53.89,73.94,76.24,71.83,2017,8,Singapore,91.4,71.89,81.99,83.64,64.4,95.89,2018,8,Hong Kong,78.14,76.83,77.51,80.3,56.08,69.34,2019,8
8,Kuwait,92.97,40.91,67.53,118.45,54.59,85.7,2015,9,Kuwait,81.62,38.26,60.78,96.13,46.01,113.6,2016,9,Denmark,83.02,35.02,60.01,63.84,101.01,98.76,2017,9,Japan,86.58,25.6,57.17,91.58,49.16,107.35,2018,9,South Korea,76.93,22.23,50.66,89.7,44.84,103.4,2019,9
9,United Kingdom,92.19,39.19,66.29,84.58,95.97,98.12,2015,10,Hong Kong,81.48,82.57,82.0,88.8,50.73,102.32,2016,10,Singapore,82.41,70.22,76.57,71.68,58.33,92.7,2017,10,Israel,86.53,35.57,61.95,72.44,94.89,102.3,2018,10,Ireland,75.35,41.8,59.24,59.1,82.65,95.09,2019,10
