,Continent_Name,Three_Letter_Country_Code,Country_x1
0,Asia,AFG,Afghanistan
1,Europe,ALB,Albania
2,Antarctica,ATA,Antarctica (the territory South of 60 deg S)
3,Africa,DZA,Algeria
4,Oceania,ASM,American Samoa
5,Europe,AND,Andorra
6,Africa,AGO,Angola
7,North America,ATG,Antigua and Barbuda
8,Europe,AZE,Azerbaijan
9,Asia,AZE,Azerbaijan
10,South America,ARG,Argentina
11,Oceania,AUS,Australia
12,Europe,AUT,Austria
13,North America,BHS,Bahamas
14,Asia,BHR,Bahrain
15,Asia,BGD,Bangladesh
16,Europe,ARM,Armenia
17,Asia,ARM,Armenia
18,North America,BRB,Barbados
19,Europe,BEL,Belgium
20,North America,BMU,Bermuda
21,Asia,BTN,Bhutan
22,South America,BOL,Bolivia
23,Europe,BIH,Bosnia and Herzegovina
24,Africa,BWA,Botswana
25,Antarctica,BVT,Bouvet Island (Bouvetoya)
26,South America,BRA,Brazil
27,North America,BLZ,Belize
28,Asia,IOT,British Indian Ocean Territory (Chagos Archipelago)
29,Oceania,SLB,Solomon Islands
30,North America,VGB,British Virgin Islands
31,Asia,BRN,Brunei Darussalam
32,Europe,BGR,Bulgaria
33,Asia,MMR,Myanmar
34,Africa,BDI,Burundi
35,Europe,BLR,Belarus
36,Asia,KHM,Cambodia
37,Africa,CMR,Cameroon
38,North America,CAN,Canada
39,Africa,CPV,Cape Verde
40,North America,CYM,Cayman Islands
41,Africa,CAF,Central African Republic
42,Asia,LKA,Sri Lanka
43,Africa,TCD,Chad
44,South America,CHL,Chile
45,Asia,CHN,China
46,Asia,TWN,Taiwan
47,Asia,CXR,Christmas Island
48,Asia,CCK,Cocos (Keeling) Islands
49,South America,COL,Colombia
50,Africa,COM,Comoros
51,Africa,MYT,Mayotte
52,Africa,COG,Congo
53,Africa,COD,Congo
54,Oceania,COK,Cook Islands
55,North America,CRI,Costa Rica
56,Europe,HRV,Croatia
57,North America,CUB,Cuba
58,Europe,CYP,Cyprus
59,Asia,CYP,Cyprus
60,Europe,CZE,Czech Republic
61,Africa,BEN,Benin
62,Europe,DNK,Denmark
63,North America,DMA,Dominica
64,North America,DOM,Dominican Republic
65,South America,ECU,Ecuador
66,North America,SLV,El Salvador
67,Africa,GNQ,Equatorial Guinea
68,Africa,ETH,Ethiopia
69,Africa,ERI,Eritrea
70,Europe,EST,Estonia
71,Europe,FRO,Faroe Islands
72,South America,FLK,Falkland Islands (Malvinas)
73,Antarctica,SGS,South Georgia and the South Sandwich Islands
74,Oceania,FJI,Fiji
75,Europe,FIN,Finland
76,Europe,ALA,Åland Islands
77,Europe,FRA,France
78,South America,GUF,French Guiana
79,Oceania,PYF,French Polynesia
80,Antarctica,ATF,French Southern Territories
81,Africa,DJI,Djibouti
82,Africa,GAB,Gabon
83,Europe,GEO,Georgia
84,Asia,GEO,Georgia
85,Africa,GMB,Gambia
86,Asia,PSE,Palestinian Territory
87,Europe,DEU,Germany
