,Country,index,Continent_Name,Three_Letter_Country_Code,Country_x1
0,Albania,1,Europe,ALB,Albania
1,Algeria,3,Africa,DZA,Algeria
2,Argentina,10,South America,ARG,Argentina
3,Armenia,17,Asia,ARM,Armenia
4,Armenia,16,Europe,ARM,Armenia
5,Australia,11,Oceania,AUS,Australia
6,Austria,12,Europe,AUT,Austria
7,Azerbaijan,9,Asia,AZE,Azerbaijan
8,Azerbaijan,8,Europe,AZE,Azerbaijan
9,Bahamas,13,North America,BHS,Bahamas
10,Bahrain,14,Asia,BHR,Bahrain
11,Bangladesh,15,Asia,BGD,Bangladesh
12,Belarus,35,Europe,BLR,Belarus
13,Belgium,19,Europe,BEL,Belgium
14,Bolivia,22,South America,BOL,Bolivia
15,Botswana,24,Africa,BWA,Botswana
16,Brazil,26,South America,BRA,Brazil
17,Bulgaria,32,Europe,BGR,Bulgaria
18,Cambodia,36,Asia,KHM,Cambodia
19,Chile,44,South America,CHL,Chile
20,China,45,Asia,CHN,China
21,Colombia,49,South America,COL,Colombia
22,Costa Rica,55,North America,CRI,Costa Rica
23,Croatia,56,Europe,HRV,Croatia
24,Cuba,57,North America,CUB,Cuba
25,Cyprus,58,Europe,CYP,Cyprus
26,Cyprus,59,Asia,CYP,Cyprus
27,Denmark,62,Europe,DNK,Denmark
28,Ecuador,65,South America,ECU,Ecuador
29,Egypt,242,Africa,EGY,Egypt
30,El Salvador,66,North America,SLV,El Salvador
31,Estonia,70,Europe,EST,Estonia
32,Ethiopia,68,Africa,ETH,Ethiopia
33,Fiji,74,Oceania,FJI,Fiji
34,Finland,75,Europe,FIN,Finland
35,France,77,Europe,FRA,France
36,Germany,87,Europe,DEU,Germany
37,Ghana,88,Africa,GHA,Ghana
38,Greece,91,Europe,GRC,Greece
39,Guatemala,96,North America,GTM,Guatemala
40,Honduras,102,North America,HND,Honduras
41,Hong Kong,103,Asia,HKG,Hong Kong
42,Hungary,104,Europe,HUN,Hungary
43,Iceland,105,Europe,ISL,Iceland
44,India,106,Asia,IND,India
45,Indonesia,107,Asia,IDN,Indonesia
46,Iran,108,Asia,IRN,Iran
47,Iraq,109,Asia,IRQ,Iraq
48,Israel,111,Asia,ISR,Israel
49,Italy,112,Europe,ITA,Italy
50,Jordan,118,Asia,JOR,Jordan
51,Kazakhstan,116,Europe,KAZ,Kazakhstan
52,Kazakhstan,117,Asia,KAZ,Kazakhstan
53,Kenya,119,Africa,KEN,Kenya
54,Kuwait,122,Asia,KWT,Kuwait
55,Latvia,127,Europe,LVA,Latvia
56,Lebanon,125,Asia,LBN,Lebanon
57,Lithuania,131,Europe,LTU,Lithuania
58,Luxembourg,132,Europe,LUX,Luxembourg
59,Macao,133,Asia,MAC,Macao
60,Malta,139,Europe,MLT,Malta
61,Mauritius,142,Africa,MUS,Mauritius
62,Mexico,143,North America,MEX,Mexico
63,Moldova,146,Europe,MDA,Moldova
64,Montenegro,147,Europe,MNE,Montenegro
65,Morocco,149,Africa,MAR,Morocco
66,Mozambique,150,Africa,MOZ,Mozambique
67,Myanmar,33,Asia,MMR,Myanmar
68,Namibia,152,Africa,NAM,Namibia
69,Nepal,154,Asia,NPL,Nepal
70,Netherlands,155,Europe,NLD,Netherlands
71,Nicaragua,164,North America,NIC,Nicaragua
72,Nigeria,166,Africa,NGA,Nigeria
73,Norway,169,Europe,NOR,Norway
74,Oman,151,Asia,OMN,Oman
75,Pakistan,176,Asia,PAK,Pakistan
76,Panama,177,North America,PAN,Panama
77,Paraguay,179,South America,PRY,Paraguay
78,Peru,180,South America,PER,Peru
79,Philippines,181,Asia,PHL,Philippines
80,Poland,183,Europe,POL,Poland
81,Portugal,184,Europe,PRT,Portugal
82,Puerto Rico,187,North America,PRI,Puerto Rico
83,Qatar,188,Asia,QAT,Qatar
84,Saudi Arabia,204,Asia,SAU,Saudi Arabia
85,Serbia,206,Europe,SRB,Serbia
86,Singapore,209,Asia,SGP,Singapore
87,Slovenia,212,Europe,SVN,Slovenia
88,South Africa,214,Africa,ZAF,South Africa
89,Spain,216,Europe,ESP,Spain
90,Sri Lanka,42,Asia,LKA,Sri Lanka
91,Sweden,223,Europe,SWE,Sweden
92,Switzerland,224,Europe,CHE,Switzerland
93,Tanzania,247,Africa,TZA,Tanzania
94,Thailand,227,Asia,THA,Thailand
95,Tunisia,233,Africa,TUN,Tunisia
96,Turkey,234,Europe,TUR,Turkey
97,Turkey,235,Asia,TUR,Turkey
98,Uganda,239,Africa,UGA,Uganda
99,United Kingdom,243,Europe,GBR,United Kingdom
100,United States,248,North America,USA,United States
101,Uruguay,251,South America,URY,Uruguay
102,Uzbekistan,252,Asia,UZB,Uzbekistan
103,Venezuela,253,South America,VEN,Venezuela
104,Vietnam,211,Asia,VNM,Vietnam
105,Zambia,257,Africa,ZMB,Zambia
106,Zimbabwe,215,Africa,ZWE,Zimbabwe
